"id","member_id","loan_amnt","int_rate","annual_inc","term","grade","home_ownership","verification_status","loan_status","purpose"
1077501,1296599,5000.0,10.65,24000.0,36 months,B,RENT,Verified,Fully Paid,credit_card
1077430,1314167,2500.0,15.27,30000.0,60 months,C,RENT,Source Verified,Charged Off,car
1077175,1313524,2400.0,15.96,12252.0,36 months,C,RENT,Not Verified,Fully Paid,small_business
1076863,1277178,10000.0,13.49,49200.0,36 months,C,RENT,Source Verified,Fully Paid,other
1075358,1311748,3000.0,12.69,80000.0,60 months,B,RENT,Source Verified,Current,other
1075269,1311441,5000.0,7.9,36000.0,36 months,A,RENT,Source Verified,Fully Paid,wedding
1069639,1304742,7000.0,15.96,47004.0,60 months,C,RENT,Not Verified,Current,debt_consolidation
1072053,1288686,3000.0,18.64,48000.0,36 months,E,RENT,Source Verified,Fully Paid,car
1071795,1306957,5600.0,21.28,40000.0,60 months,F,OWN,Source Verified,Charged Off,small_business
1071570,1306721,5375.0,12.69,15000.0,60 months,B,RENT,Verified,Charged Off,other
1070078,1305201,6500.0,14.65,72000.0,60 months,C,OWN,Not Verified,Fully Paid,debt_consolidation
1069908,1305008,12000.0,12.69,75000.0,36 months,B,OWN,Source Verified,Fully Paid,debt_consolidation
1064687,1298717,9000.0,13.49,30000.0,36 months,C,RENT,Source Verified,Charged Off,debt_consolidation
1069866,1304956,3000.0,9.91,15000.0,36 months,B,RENT,Source Verified,Fully Paid,credit_card
1069057,1303503,10000.0,10.65,100000.0,36 months,B,RENT,Source Verified,Charged Off,other
1069759,1304871,1000.0,16.29,28000.0,36 months,D,RENT,Not Verified,Fully Paid,debt_consolidation
1065775,1299699,10000.0,15.27,42000.0,36 months,C,RENT,Not Verified,Fully Paid,home_improvement
1069971,1304884,3600.0,6.03,110000.0,36 months,A,MORTGAGE,Not Verified,Fully Paid,major_purchase
1062474,1294539,6000.0,11.71,84000.0,36 months,B,MORTGAGE,Verified,Fully Paid,medical
1069742,1304855,9200.0,6.03,77385.19,36 months,A,RENT,Not Verified,Fully Paid,debt_consolidation
1069740,1284848,20250.0,15.27,43370.0,60 months,C,RENT,Verified,Fully Paid,debt_consolidation
1039153,1269083,21000.0,12.42,105000.0,36 months,B,RENT,Verified,Charged Off,debt_consolidation
1069710,1304821,10000.0,11.71,50000.0,36 months,B,OWN,Source Verified,Fully Paid,credit_card
1069700,1304810,10000.0,11.71,50000.0,36 months,B,RENT,Not Verified,Fully Paid,debt_consolidation
1069559,1304634,6000.0,11.71,76000.0,36 months,B,RENT,Not Verified,Charged Off,major_purchase
1069697,1273773,15000.0,9.91,92000.0,36 months,B,MORTGAGE,Verified,Fully Paid,credit_card
1069800,1304679,15000.0,14.27,60000.0,36 months,C,RENT,Not Verified,Charged Off,debt_consolidation
1069657,1304764,5000.0,16.77,50004.0,60 months,D,RENT,Not Verified,Charged Off,other
1069799,1304678,4000.0,11.71,106000.0,36 months,B,MORTGAGE,Not Verified,Fully Paid,debt_consolidation
1047704,1278806,8500.0,11.71,25000.0,36 months,B,RENT,Source Verified,Fully Paid,credit_card
1032111,1261745,4375.0,7.51,17108.0,36 months,A,MORTGAGE,Source Verified,Fully Paid,debt_consolidation
1069539,1304608,31825.0,7.9,75000.0,36 months,A,MORTGAGE,Verified,Fully Paid,debt_consolidation
1065420,1299514,10000.0,15.96,29120.0,60 months,C,RENT,Verified,Current,debt_consolidation
1069591,1304289,5000.0,8.9,24044.0,36 months,A,RENT,Verified,Fully Paid,debt_consolidation
1069530,1291365,7000.0,15.96,34000.0,36 months,C,RENT,Source Verified,Fully Paid,credit_card
1069522,1304589,12400.0,10.65,41000.0,36 months,B,RENT,Not Verified,Fully Paid,credit_card
1069361,1304255,10800.0,9.91,55596.0,36 months,B,RENT,Source Verified,Fully Paid,moving
1069357,1304251,15000.0,7.9,45000.0,36 months,A,RENT,Verified,Fully Paid,debt_consolidation
1069356,1304250,6000.0,12.42,36852.0,36 months,B,RENT,Source Verified,Fully Paid,debt_consolidation
1069346,1304237,12500.0,12.69,27000.0,60 months,B,RENT,Verified,Current,debt_consolidation
1067573,1301955,9600.0,7.51,68004.0,36 months,A,RENT,Source Verified,Fully Paid,other
1069506,1304567,12000.0,7.9,62300.0,36 months,A,RENT,Not Verified,Fully Paid,debt_consolidation
1069314,1304202,3000.0,18.25,65000.0,36 months,D,MORTGAGE,Not Verified,Fully Paid,other
1060578,1292332,4400.0,16.77,55000.0,36 months,D,RENT,Not Verified,Fully Paid,debt_consolidation
1069469,1304526,6000.0,6.03,45600.0,36 months,A,MORTGAGE,Not Verified,Fully Paid,debt_consolidation
1051117,1282787,14000.0,9.91,80000.0,36 months,B,RENT,Not Verified,Fully Paid,small_business
1069465,1304521,5000.0,8.9,100000.0,36 months,A,MORTGAGE,Source Verified,Charged Off,debt_consolidation
1069283,1304166,10000.0,10.65,27000.0,36 months,B,RENT,Verified,Fully Paid,other
1069287,1304171,10000.0,6.03,60000.0,36 months,A,RENT,Not Verified,Fully Paid,credit_card
1069453,1303701,11000.0,6.62,70000.0,36 months,A,RENT,Not Verified,Fully Paid,debt_consolidation
1069248,1304123,15000.0,9.91,80000.0,36 months,B,MORTGAGE,Not Verified,Charged Off,debt_consolidation
1068120,1302485,25600.0,9.91,110000.0,36 months,B,RENT,Verified,Fully Paid,credit_card
1069244,1304117,7000.0,10.65,40000.0,36 months,B,RENT,Not Verified,Fully Paid,debt_consolidation
1069243,1304116,12000.0,15.96,50000.0,36 months,C,RENT,Not Verified,Charged Off,car
1069238,1303909,12000.0,9.91,46000.0,36 months,B,RENT,Not Verified,Fully Paid,credit_card
1069410,1303652,21000.0,19.91,50000.0,60 months,E,RENT,Verified,Charged Off,debt_consolidation
1068409,1302790,16000.0,19.91,81000.0,60 months,E,RENT,Verified,Fully Paid,credit_card
1068487,1302882,10000.0,12.42,39000.0,36 months,B,OWN,Not Verified,Fully Paid,debt_consolidation
1043961,1274517,10000.0,10.65,51400.0,36 months,B,RENT,Not Verified,Fully Paid,credit_card
1068945,1287308,7100.0,16.77,33000.0,36 months,D,MORTGAGE,Verified,Fully Paid,debt_consolidation
1069142,1287810,13000.0,12.69,30000.0,60 months,B,MORTGAGE,Source Verified,Fully Paid,debt_consolidation
1068934,1277395,17500.0,17.27,40000.0,60 months,D,RENT,Verified,Current,small_business
1069136,1278095,17675.0,14.65,50000.0,60 months,C,RENT,Source Verified,Fully Paid,debt_consolidation
1068923,1303549,8000.0,16.77,62000.0,36 months,D,RENT,Not Verified,Fully Paid,debt_consolidation
1069126,1303778,10000.0,10.65,45996.0,60 months,B,RENT,Verified,Charged Off,debt_consolidation
1069102,1303750,3500.0,10.65,55000.0,36 months,B,MORTGAGE,Not Verified,Fully Paid,debt_consolidation
1069093,1303740,12500.0,17.27,30000.0,60 months,D,RENT,Source Verified,Charged Off,debt_consolidation
1069030,1303473,16425.0,14.27,44544.0,36 months,C,RENT,Source Verified,Fully Paid,debt_consolidation
1068906,1303528,8200.0,21.28,75000.0,60 months,F,RENT,Source Verified,Charged Off,small_business
1069073,1303718,15000.0,14.65,61000.0,36 months,C,OWN,Verified,Fully Paid,credit_card
1069043,1303486,20975.0,17.58,44000.0,60 months,D,MORTGAGE,Verified,Fully Paid,credit_card
1060981,1292558,6400.0,16.77,75000.0,36 months,D,RENT,Not Verified,Charged Off,debt_consolidation
1069071,1303716,3000.0,13.49,33600.0,36 months,C,RENT,Not Verified,Fully Paid,debt_consolidation
1069070,1299004,12000.0,16.77,50000.0,36 months,D,RENT,Not Verified,Fully Paid,credit_card
1068893,1303514,14400.0,8.9,150000.0,36 months,A,OWN,Source Verified,Fully Paid,debt_consolidation
1068882,1303303,12000.0,14.65,90000.0,36 months,C,RENT,Not Verified,Fully Paid,debt_consolidation
1069039,1303482,11000.0,13.49,48000.0,36 months,C,MORTGAGE,Verified,Fully Paid,debt_consolidation
1068416,1302799,7250.0,21.67,75000.0,60 months,F,RENT,Verified,Fully Paid,debt_consolidation
1068997,1303437,15000.0,7.9,52000.0,36 months,A,MORTGAGE,Not Verified,Fully Paid,small_business
1048390,1279714,18000.0,19.91,65000.0,60 months,E,MORTGAGE,Not Verified,Fully Paid,debt_consolidation
1068994,1303432,35000.0,17.27,150000.0,60 months,D,MORTGAGE,Verified,Fully Paid,home_improvement
1068475,1302869,10000.0,14.27,68000.0,36 months,C,RENT,Source Verified,Fully Paid,credit_card
1068989,1282013,11800.0,12.69,42000.0,36 months,B,RENT,Source Verified,Fully Paid,credit_card
1068967,1303403,4500.0,6.03,53000.0,36 months,A,RENT,Source Verified,Fully Paid,major_purchase
1068744,1303379,7000.0,12.69,35000.0,36 months,B,RENT,Source Verified,Fully Paid,credit_card
1045509,1276120,9200.0,12.42,60000.0,36 months,B,RENT,Source Verified,Fully Paid,debt_consolidation
1063958,1297940,14000.0,17.27,28000.0,60 months,D,RENT,Verified,Current,other
1041756,1272024,4500.0,10.65,42000.0,60 months,B,MORTGAGE,Source Verified,Fully Paid,car
1068694,1303326,12000.0,16.29,88365.0,36 months,D,RENT,Verified,Fully Paid,debt_consolidation
1068792,1303200,12000.0,13.49,72000.0,36 months,C,RENT,Source Verified,Fully Paid,debt_consolidation
1068558,1303163,12000.0,10.65,62000.0,36 months,B,RENT,Verified,Fully Paid,credit_card
1068322,1302938,7000.0,10.65,43680.0,36 months,B,MORTGAGE,Not Verified,Fully Paid,credit_card
1065674,1299785,8200.0,19.42,120000.0,60 months,E,RENT,Source Verified,Fully Paid,debt_consolidation
1068547,1303150,10500.0,12.69,66000.0,36 months,B,RENT,Verified,Fully Paid,medical
1068545,1303147,7000.0,11.71,39120.0,36 months,B,OWN,Not Verified,Fully Paid,debt_consolidation
1068575,1303001,15300.0,22.06,85000.0,60 months,F,RENT,Verified,Current,credit_card
1049528,1280928,20000.0,11.71,47800.0,60 months,B,MORTGAGE,Verified,Fully Paid,debt_consolidation
1068542,1303143,17500.0,17.27,45000.0,60 months,D,MORTGAGE,Not Verified,Charged Off,credit_card
1068350,1302971,3500.0,6.03,83000.0,36 months,A,MORTGAGE,Verified,Fully Paid,car
1067874,1302235,6000.0,12.69,81000.0,60 months,B,RENT,Source Verified,Current,major_purchase
1068509,1302907,6200.0,9.91,25000.0,36 months,B,RENT,Not Verified,Charged Off,debt_consolidation
1034693,1264291,16000.0,17.58,65000.0,60 months,D,RENT,Not Verified,Current,debt_consolidation
1068508,1302906,6000.0,8.9,28800.0,36 months,A,OWN,Not Verified,Fully Paid,debt_consolidation
1066641,1300833,7200.0,9.91,135000.0,36 months,B,RENT,Not Verified,Fully Paid,credit_card
1068315,1302930,9500.0,8.9,50000.0,36 months,A,MORTGAGE,Not Verified,Fully Paid,credit_card
1068309,1302924,18825.0,16.77,38000.0,60 months,D,RENT,Verified,Charged Off,debt_consolidation
1068326,1302942,24000.0,10.65,45000.0,36 months,B,RENT,Verified,Fully Paid,debt_consolidation
1066767,1300950,6000.0,13.49,80000.0,36 months,C,RENT,Not Verified,Fully Paid,debt_consolidation
1068484,1302879,6000.0,13.49,50000.0,36 months,C,RENT,Not Verified,Fully Paid,debt_consolidation
1068292,1302706,2100.0,12.42,30000.0,36 months,B,MORTGAGE,Not Verified,Fully Paid,vacation
1068273,1302680,5500.0,6.62,110000.0,36 months,A,MORTGAGE,Verified,Fully Paid,small_business
1068274,1302681,11000.0,6.62,45608.0,36 months,A,OWN,Source Verified,Fully Paid,debt_consolidation
1068440,1302831,26800.0,20.89,120000.0,60 months,F,MORTGAGE,Verified,Fully Paid,debt_consolidation
1046456,1277297,8000.0,12.69,35000.0,36 months,B,MORTGAGE,Not Verified,Fully Paid,debt_consolidation
1068012,1302365,10000.0,18.25,75000.0,36 months,D,RENT,Source Verified,Charged Off,credit_card
1055725,1287293,8000.0,11.71,35000.0,36 months,B,MORTGAGE,Verified,Fully Paid,credit_card
1061814,1293438,10000.0,8.9,24000.0,36 months,A,RENT,Verified,Fully Paid,debt_consolidation
1068232,1302622,12000.0,11.71,126000.0,36 months,B,MORTGAGE,Not Verified,Fully Paid,debt_consolidation
1068405,1302785,10000.0,7.9,43000.0,36 months,A,RENT,Not Verified,Fully Paid,debt_consolidation
1068395,1302773,12000.0,9.91,50000.0,36 months,B,RENT,Not Verified,Fully Paid,debt_consolidation
1068202,1302588,25000.0,13.49,67000.0,60 months,C,MORTGAGE,Verified,Charged Off,credit_card
1068006,1302360,19750.0,10.65,45000.0,36 months,B,RENT,Verified,Charged Off,debt_consolidation
1068075,1302430,10000.0,9.91,31200.0,36 months,B,RENT,Source Verified,Fully Paid,debt_consolidation
1065642,1299748,13650.0,12.42,66000.0,36 months,B,RENT,Verified,Fully Paid,debt_consolidation
1068179,1302564,28000.0,19.91,52000.0,60 months,E,RENT,Verified,Charged Off,debt_consolidation
1068158,1302728,18000.0,7.9,56964.0,36 months,A,RENT,Source Verified,Fully Paid,debt_consolidation
1068180,1302565,2500.0,14.27,49500.0,36 months,C,RENT,Source Verified,Fully Paid,debt_consolidation
1065673,1299784,21000.0,20.3,70000.0,60 months,E,RENT,Verified,Fully Paid,credit_card
1068159,1302729,35000.0,8.9,125000.0,36 months,A,MORTGAGE,Verified,Fully Paid,debt_consolidation
1068165,1302549,10000.0,7.51,33000.0,36 months,A,RENT,Not Verified,Fully Paid,credit_card
1059689,1291305,7000.0,12.69,30000.0,36 months,B,RENT,Source Verified,Fully Paid,credit_card
1066215,1300572,24000.0,15.96,90000.0,36 months,C,MORTGAGE,Source Verified,Charged Off,home_improvement
1063270,1295780,10625.0,7.51,23000.0,36 months,A,MORTGAGE,Not Verified,Fully Paid,medical
1067931,1302311,5000.0,14.65,24000.0,36 months,C,RENT,Source Verified,Fully Paid,debt_consolidation
1067922,1302299,8850.0,6.62,62000.0,36 months,A,RENT,Source Verified,Fully Paid,credit_card
1067919,1302295,6375.0,7.51,44000.0,36 months,A,RENT,Source Verified,Fully Paid,debt_consolidation
1068106,1302467,6000.0,11.71,90000.0,36 months,B,RENT,Not Verified,Fully Paid,credit_card
1068111,1302472,11100.0,6.62,41000.0,36 months,A,RENT,Verified,Charged Off,credit_card
1067655,1302044,10000.0,12.69,56000.0,60 months,B,MORTGAGE,Source Verified,Fully Paid,debt_consolidation
1060662,1292431,6200.0,6.03,26500.0,36 months,A,MORTGAGE,Not Verified,Fully Paid,small_business
1061304,1293317,15000.0,18.64,54000.0,36 months,E,RENT,Not Verified,Fully Paid,debt_consolidation
1068095,1302453,4200.0,11.71,53000.0,36 months,B,RENT,Not Verified,Fully Paid,other
1067182,1301537,14000.0,14.27,52800.0,36 months,C,RENT,Not Verified,Fully Paid,debt_consolidation
822464,1030901,8875.0,7.51,38000.0,36 months,A,MORTGAGE,Not Verified,Fully Paid,debt_consolidation
1063526,1296092,13500.0,9.91,38000.0,36 months,B,RENT,Verified,Fully Paid,debt_consolidation
1068091,1302450,12000.0,9.91,42000.0,36 months,B,RENT,Not Verified,Charged Off,debt_consolidation
1068090,1302449,16000.0,19.91,55000.0,60 months,E,RENT,Verified,Fully Paid,debt_consolidation
1068082,1270159,21600.0,19.42,60000.0,60 months,E,MORTGAGE,Source Verified,Fully Paid,debt_consolidation
1068078,1302434,6000.0,10.65,87000.0,36 months,B,MORTGAGE,Not Verified,Fully Paid,home_improvement
1057633,1289398,8450.0,16.77,25000.0,60 months,D,OWN,Verified,Fully Paid,debt_consolidation
1046204,1276836,20000.0,13.49,82000.0,60 months,C,RENT,Not Verified,Fully Paid,credit_card
1067794,1302151,10000.0,11.71,60000.0,36 months,B,RENT,Not Verified,Charged Off,debt_consolidation
1067816,1302174,12000.0,16.29,80000.0,36 months,D,MORTGAGE,Verified,Fully Paid,credit_card
1068018,1302371,13475.0,13.49,25000.0,60 months,C,RENT,Verified,Charged Off,credit_card
1052996,1284571,7200.0,12.42,48000.0,36 months,B,RENT,Not Verified,Fully Paid,major_purchase
1067818,1247741,5600.0,14.65,85000.0,36 months,C,MORTGAGE,Not Verified,Charged Off,debt_consolidation
1064842,1298688,12000.0,14.27,57000.0,36 months,C,RENT,Verified,Fully Paid,debt_consolidation
1067109,1301487,8500.0,6.03,25000.0,36 months,A,RENT,Not Verified,Fully Paid,credit_card
1067971,1302322,8000.0,9.91,34000.0,36 months,B,RENT,Source Verified,Fully Paid,credit_card
1057518,1289083,8000.0,12.42,40000.0,36 months,B,RENT,Not Verified,Fully Paid,credit_card
1067473,1301868,16000.0,15.27,42656.4,60 months,C,RENT,Source Verified,Fully Paid,debt_consolidation
1062177,1294027,15000.0,17.27,44400.0,36 months,D,MORTGAGE,Source Verified,Fully Paid,house
1067447,1301839,10000.0,9.91,30000.0,36 months,B,OWN,Not Verified,Fully Paid,debt_consolidation
1059412,1291030,10000.0,6.62,70000.0,36 months,A,MORTGAGE,Not Verified,Fully Paid,credit_card
1062608,1294481,8000.0,14.65,28000.0,36 months,C,RENT,Not Verified,Fully Paid,car
1067664,1302055,22000.0,9.91,50000.0,36 months,B,MORTGAGE,Verified,Fully Paid,debt_consolidation
1067441,1301833,6000.0,14.27,94800.0,36 months,C,MORTGAGE,Verified,Fully Paid,car
1067654,1302043,16000.0,9.91,40000.0,60 months,B,OWN,Verified,Current,debt_consolidation
1067644,1302032,2500.0,7.51,12000.0,36 months,A,OWN,Source Verified,Charged Off,debt_consolidation
1062288,1294350,13500.0,9.91,36000.0,36 months,B,MORTGAGE,Source Verified,Fully Paid,credit_card
1067434,1301822,25000.0,12.42,225000.0,36 months,B,RENT,Verified,Fully Paid,debt_consolidation
1067419,1301804,10000.0,13.49,45900.0,36 months,C,RENT,Verified,Fully Paid,small_business
1067601,1301984,2500.0,13.49,27200.0,36 months,C,RENT,Not Verified,Fully Paid,debt_consolidation
1067579,1301961,7325.0,12.69,42000.0,36 months,B,RENT,Not Verified,Fully Paid,debt_consolidation
1067563,1301944,4000.0,12.42,135000.0,36 months,B,RENT,Verified,Fully Paid,credit_card
1067364,1301744,10000.0,13.49,65000.0,36 months,C,RENT,Not Verified,Charged Off,small_business
1067152,1301933,7750.0,17.27,24000.0,36 months,D,RENT,Not Verified,Charged Off,debt_consolidation
1062471,1294536,20000.0,20.89,70000.0,60 months,F,RENT,Source Verified,Charged Off,debt_consolidation
1066842,1301036,9600.0,12.42,65000.0,36 months,B,RENT,Verified,Fully Paid,debt_consolidation
1067126,1301506,21000.0,11.71,60000.0,60 months,B,RENT,Not Verified,Charged Off,debt_consolidation
1067326,1301703,14000.0,10.65,30000.0,36 months,B,RENT,Source Verified,Fully Paid,credit_card
1066789,1300973,13350.0,12.42,43000.0,36 months,B,RENT,Not Verified,Fully Paid,debt_consolidation
1067324,1301699,15000.0,16.77,42000.0,36 months,D,RENT,Verified,Charged Off,debt_consolidation
1067102,1301481,15000.0,17.27,75000.0,36 months,D,RENT,Source Verified,Charged Off,debt_consolidation
1046969,1277832,11000.0,13.49,129000.0,60 months,C,MORTGAGE,Verified,Current,debt_consolidation
1067084,1301459,35000.0,10.65,168000.0,36 months,B,MORTGAGE,Verified,Fully Paid,debt_consolidation
1067090,1301465,9000.0,10.65,74000.0,36 months,B,MORTGAGE,Source Verified,Fully Paid,credit_card
1060875,1292842,22475.0,15.27,52000.0,60 months,C,MORTGAGE,Verified,Current,debt_consolidation
1067265,1301632,16000.0,12.69,58500.0,36 months,B,RENT,Source Verified,Charged Off,debt_consolidation
1067287,1301658,13500.0,12.69,71000.0,36 months,B,RENT,Source Verified,Fully Paid,debt_consolidation
1067066,1301436,24000.0,12.69,75000.0,36 months,B,RENT,Verified,Fully Paid,debt_consolidation
1067283,1301654,12000.0,10.65,60000.0,36 months,B,RENT,Not Verified,Fully Paid,credit_card
1067266,1301634,8400.0,16.77,87996.0,60 months,D,RENT,Not Verified,Current,major_purchase
1066635,1300826,28000.0,17.58,140000.0,60 months,D,MORTGAGE,Verified,Fully Paid,home_improvement
1067026,1301392,14000.0,6.62,66000.0,36 months,A,RENT,Source Verified,Fully Paid,debt_consolidation
1067038,1301405,12000.0,14.27,70000.0,36 months,C,MORTGAGE,Not Verified,Charged Off,other
1067030,1301397,25000.0,11.71,100000.0,36 months,B,MORTGAGE,Verified,Fully Paid,debt_consolidation
1065350,1299445,9000.0,12.69,50000.0,36 months,B,RENT,Source Verified,Fully Paid,debt_consolidation
1067028,1301395,13250.0,10.65,35000.0,36 months,B,RENT,Not Verified,Fully Paid,debt_consolidation
1061877,1293509,20000.0,13.49,75000.0,36 months,C,RENT,Verified,Fully Paid,debt_consolidation
1067018,1301384,3000.0,14.65,71000.0,36 months,C,RENT,Verified,Fully Paid,medical
1067223,1301585,7350.0,10.65,48000.0,36 months,B,MORTGAGE,Not Verified,Fully Paid,debt_consolidation
1067004,1301365,11500.0,15.27,36000.0,36 months,C,RENT,Not Verified,Fully Paid,debt_consolidation
1031265,1260676,13650.0,12.42,86000.0,36 months,B,MORTGAGE,Not Verified,Charged Off,debt_consolidation
1066835,1301027,10500.0,16.29,30000.0,36 months,D,RENT,Source Verified,Charged Off,debt_consolidation
1067181,1301536,12000.0,9.91,60000.0,36 months,B,RENT,Not Verified,Fully Paid,debt_consolidation
1067179,1301534,6000.0,8.9,34000.0,36 months,A,RENT,Not Verified,Fully Paid,credit_card
1067172,1301527,11500.0,15.27,44200.0,36 months,C,MORTGAGE,Verified,Fully Paid,credit_card
1066712,1301115,7000.0,12.42,82000.0,36 months,B,MORTGAGE,Not Verified,Fully Paid,debt_consolidation
1066706,1300906,29500.0,20.3,83000.0,60 months,E,MORTGAGE,Source Verified,Fully Paid,debt_consolidation
1066836,1301028,2000.0,15.27,41000.0,36 months,C,RENT,Verified,Fully Paid,moving
1066826,1301015,11625.0,13.49,36000.0,36 months,C,MORTGAGE,Source Verified,Fully Paid,credit_card
1063280,1295793,15075.0,14.27,35000.0,36 months,C,RENT,Verified,Charged Off,debt_consolidation
1057447,1289006,5300.0,15.27,30000.0,36 months,C,RENT,Verified,Fully Paid,credit_card
1040867,1270873,8200.0,6.62,40000.0,36 months,A,RENT,Source Verified,Fully Paid,home_improvement
1065232,1299103,12000.0,12.42,105000.0,36 months,B,MORTGAGE,Not Verified,Fully Paid,credit_card
1052492,1284024,8650.0,14.27,45000.0,36 months,C,MORTGAGE,Source Verified,Fully Paid,credit_card
1066664,1300858,21000.0,17.27,109000.0,60 months,D,MORTGAGE,Verified,Current,debt_consolidation
1066659,1300852,16000.0,17.27,50000.0,60 months,D,RENT,Source Verified,Current,debt_consolidation
1066763,1300945,12000.0,12.42,83000.0,36 months,B,RENT,Not Verified,Fully Paid,debt_consolidation
1066798,1300982,9500.0,12.69,52500.0,36 months,B,MORTGAGE,Source Verified,Charged Off,moving
1066639,1300831,7400.0,13.49,25000.0,36 months,C,OWN,Source Verified,Fully Paid,debt_consolidation
1066633,1300823,14400.0,13.49,60000.0,36 months,C,MORTGAGE,Not Verified,Fully Paid,debt_consolidation
1060644,1292408,24250.0,23.91,120000.0,60 months,G,MORTGAGE,Verified,Fully Paid,debt_consolidation
1066766,1300949,7200.0,7.9,68000.0,36 months,A,RENT,Source Verified,Charged Off,debt_consolidation
1066613,1300801,26000.0,16.77,53000.0,60 months,D,MORTGAGE,Verified,Charged Off,home_improvement
1065648,1299754,7000.0,11.71,69600.0,60 months,B,MORTGAGE,Verified,Charged Off,credit_card
1066768,1300951,4000.0,7.51,65000.0,36 months,A,RENT,Source Verified,Fully Paid,major_purchase
1066617,1300806,1500.0,17.27,144000.0,36 months,D,MORTGAGE,Verified,Fully Paid,debt_consolidation
1062015,1293857,19600.0,12.42,75000.0,36 months,B,RENT,Verified,Fully Paid,credit_card
1066598,1300783,2500.0,11.71,29000.0,36 months,B,MORTGAGE,Verified,Fully Paid,debt_consolidation
1066503,1300476,10000.0,12.69,70000.0,36 months,B,RENT,Not Verified,Charged Off,credit_card
1066530,1300506,10000.0,6.62,45000.0,36 months,A,RENT,Not Verified,Fully Paid,credit_card
1066520,1300495,4225.0,12.42,55200.0,36 months,B,MORTGAGE,Not Verified,Fully Paid,other
1065929,1300072,3500.0,7.9,61440.0,36 months,A,MORTGAGE,Not Verified,Fully Paid,vacation
1066582,1300766,12000.0,6.62,56000.0,36 months,A,MORTGAGE,Not Verified,Fully Paid,debt_consolidation
1066348,1300722,16500.0,8.9,47000.0,36 months,A,RENT,Source Verified,Fully Paid,debt_consolidation
1061430,1293224,22000.0,21.67,55000.0,60 months,F,RENT,Verified,Fully Paid,debt_consolidation
1061519,1293522,12000.0,14.65,71000.0,36 months,C,RENT,Verified,Fully Paid,credit_card
1066344,1300716,15600.0,12.69,50000.0,60 months,B,RENT,Source Verified,Current,vacation
1066480,1300453,10800.0,12.42,135000.0,36 months,B,RENT,Verified,Fully Paid,credit_card
1066471,1300438,14000.0,12.42,63000.0,36 months,B,MORTGAGE,Not Verified,Fully Paid,credit_card
1064063,1296651,18825.0,17.58,44000.0,60 months,D,MORTGAGE,Verified,Current,debt_consolidation
1066318,1300689,6000.0,13.49,50000.0,36 months,C,MORTGAGE,Not Verified,Fully Paid,debt_consolidation
1066453,1300423,12000.0,9.91,80000.0,36 months,B,RENT,Not Verified,Fully Paid,debt_consolidation
1063090,1295591,10000.0,12.42,45000.0,36 months,B,RENT,Not Verified,Fully Paid,debt_consolidation
1061406,1293196,8000.0,7.9,78000.0,36 months,A,RENT,Not Verified,Fully Paid,vacation
1066278,1300643,14125.0,9.91,33000.0,36 months,B,RENT,Verified,Fully Paid,debt_consolidation
